ee_x, ee_y, ee_z,time_us
0.779661, -0.000110505, 0.409413,1645479803843694
0.779661, -0.000110422, 0.409413,1645479803848693
0.779661, -0.000110666, 0.409412,1645479803853693
0.779661, -0.000110655, 0.409412,1645479803858692
0.779661, -0.000110359, 0.409412,1645479803863692
0.779661, -0.000110673, 0.409412,1645479803868691
0.779648, -0.000114426, 0.409412,1645479803873690
0.779448, -0.000140343, 0.409821,1645479803878690
0.77914, -2.99159e-05, 0.410557,1645479803883689
0.778555, 1.99083e-05, 0.41085,1645479803888689
0.777907, 0.000130409, 0.410818,1645479803893688
0.777146, 0.000318843, 0.410862,1645479803898687
0.776345, 0.00061893, 0.411033,1645479803903687
0.775515, 0.00119004, 0.411579,1645479803908686
0.774524, 0.00233355, 0.411919,1645479803913686
0.773491, 0.00327832, 0.412292,1645479803918686
0.772448, 0.00403911, 0.412709,1645479803923685
0.771196, 0.00477371, 0.412761,1645479803928684
0.76977, 0.00600895, 0.412678,1645479803933684
0.768333, 0.00745497, 0.41293,1645479803938683
0.766878, 0.00866418, 0.413374,1645479803943683
0.765315, 0.00968366, 0.413714,1645479803948683
0.763602, 0.0109636, 0.413928,1645479803953682
0.761868, 0.0125469, 0.414319,1645479803958682
0.760183, 0.0139885, 0.414926,1645479803963682
0.758549, 0.0150431, 0.415591,1645479803968681
0.756852, 0.0159695, 0.416237,1645479803973681
0.755111, 0.0171117, 0.416896,1645479803978681
0.753357, 0.0184287, 0.417563,1645479803983680
0.751724, 0.0197518, 0.418235,1645479803988679
0.750289, 0.0210636, 0.41909,1645479803993679
0.748981, 0.0224602, 0.420066,1645479803998679
0.747654, 0.0239002, 0.421012,1645479804003678
0.746241, 0.0252468, 0.42177,1645479804008678
0.744783, 0.0265431, 0.422446,1645479804013678
0.743376, 0.0279372, 0.423219,1645479804018677
0.741985, 0.0294639, 0.424024,1645479804023677
0.740575, 0.0310177, 0.424833,1645479804028676
0.739094, 0.032542, 0.425584,1645479804033676
0.737571, 0.0341287, 0.426275,1645479804038676
0.736017, 0.0357868, 0.426942,1645479804043676
0.73448, 0.0374248, 0.427542,1645479804048675
0.732963, 0.0389567, 0.428151,1645479804053674
0.731454, 0.0404534, 0.428729,1645479804058674
0.72994, 0.0421159, 0.429338,1645479804063674
0.728387, 0.0439557, 0.429893,1645479804068674
0.726824, 0.0458261, 0.43035,1645479804073673
0.725242, 0.0476298, 0.43073,1645479804078673
0.72369, 0.049428, 0.431058,1645479804083673
0.722132, 0.0513346, 0.431442,1645479804088672
0.720558, 0.0533372, 0.431786,1645479804093672
0.718945, 0.0553388, 0.432121,1645479804098672
