v_ee_x, v_ee_y, v_ee_z
4.51056e-07, 5.35994e-06, -2.54535e-05
7.33644e-08, 1.15815e-05, -7.92207e-06
1.14577e-06, -2.20958e-05, -2.24773e-05
1.16763e-06, -8.48668e-06, -2.03704e-05
3.40107e-06, 2.92175e-05, 4.96851e-07
-7.49527e-07, -2.20747e-05, -8.74214e-06
-0.00140776, -0.0004278, -7.70141e-05
-0.0229337, -0.00307627, 0.0455365
-0.0445451, 0.0109319, 0.102128
-0.0849428, 0.0103864, 0.0778188
-0.109941, 0.0168941, 0.0308516
-0.133659, 0.0284389, 0.0185614
-0.148644, 0.0459636, 0.0271761
-0.158663, 0.0838628, 0.072624
-0.181129, 0.164322, 0.0699471
-0.195846, 0.177792, 0.0723173
-0.203389, 0.163252, 0.0783325
-0.230183, 0.153874, 0.0403886
-0.261733, 0.205401, 0.00852738
-0.276991, 0.251638, 0.0317043
-0.285807, 0.245706, 0.0631401
-0.301657, 0.221913, 0.0655042
-0.32568, 0.240318, 0.0525523
-0.338757, 0.28218, 0.0664682
-0.339154, 0.284941, 0.0965339
-0.333521, 0.243095, 0.116086
-0.33793, 0.210345, 0.12268
-0.344909, 0.21988, 0.127117
-0.349518, 0.243542, 0.130019
-0.337899, 0.254686, 0.131969
-0.310669, 0.25842, 0.153121
-0.284383, 0.269578, 0.175859
-0.274817, 0.279371, 0.182748
-0.280128, 0.273257, 0.164846
-0.287524, 0.264892, 0.14793
-0.285168, 0.272076, 0.151156
-0.282286, 0.290042, 0.156113
-0.283178, 0.301017, 0.158711
-0.291616, 0.302529, 0.153515
-0.299883, 0.310105, 0.144455
-0.307198, 0.32137, 0.137751
-0.308454, 0.324148, 0.127408
-0.306731, 0.313582, 0.123824
-0.305111, 0.304969, 0.118815
-0.30496, 0.319571, 0.119904
-0.309278, 0.345736, 0.114582
-0.312458, 0.360715, 0.101226
-0.315903, 0.359913, 0.0868355
-0.314075, 0.358949, 0.0746788
-0.313987, 0.370558, 0.0755118
-0.315771, 0.386363, 0.071398
-0.320906, 0.393218, 0.0685951
-0.32464, 0.393586, 0.0596501
-0.323875, 0.396514, 0.0594498
-0.320725, 0.405511, 0.061777
-0.320343, 0.411727, 0.0599776
-0.322453, 0.408724, 0.0541696
-0.32544, 0.402307, 0.0451993
-0.324135, 0.401497, 0.0424004
-0.322986, 0.405158, 0.037835
-0.321375, 0.409183, 0.0300637
-0.323349, 0.409938, 0.0217112
-0.323805, 0.411419, 0.0124636
-0.323754, 0.413423, 0.0115349
-0.322337, 0.415678, 0.0080341
-0.321327, 0.418011, 0.00339556
-0.322859, 0.420805, -0.00598745
-0.323518, 0.423402, -0.0146206
-0.322981, 0.424093, -0.0168568
-0.322542, 0.424384, -0.0219633
-0.322608, 0.423023, -0.0293174
-0.323517, 0.421549, -0.0373705
-0.322441, 0.422171, -0.0423605
-0.319813, 0.423073, -0.0395623
-0.318463, 0.42353, -0.0406888
-0.318386, 0.422714, -0.0456558
-0.318818, 0.421076, -0.05231
-0.31895, 0.420163, -0.0612452
-0.316971, 0.421228, -0.0625185
-0.315143, 0.422011, -0.0646776
-0.316475, 0.421593, -0.0717861
-0.315657, 0.421594, -0.076339
-0.316232, 0.421719, -0.0817137
-0.313978, 0.423164, -0.0848263
-0.311539, 0.422299, -0.0847305
-0.308921, 0.418791, -0.0887103
-0.308901, 0.416372, -0.0932747
-0.308387, 0.417118, -0.0971511
-0.309411, 0.418378, -0.104281
-0.307909, 0.418785, -0.106914
-0.30483, 0.417274, -0.10735
-0.304023, 0.415514, -0.112023
-0.304494, 0.414766, -0.118858
-0.303159, 0.413288, -0.121697
-0.302031, 0.411732, -0.126575
-0.299617, 0.411065, -0.127907
-0.295726, 0.409993, -0.126719
-0.293679, 0.409189, -0.128598
-0.293433, 0.407746, -0.134562
-0.291128, 0.406505, -0.137668
-0.288352, 0.402114, -0.14048
-0.286258, 0.396859, -0.147252
-0.284143, 0.395896, -0.150161
-0.281452, 0.397959, -0.150779
-0.280054, 0.397076, -0.155128
-0.278829, 0.393801, -0.162219
-0.275454, 0.390793, -0.166301
-0.271955, 0.390896, -0.167212
-0.270492, 0.390629, -0.171551
-0.267722, 0.38715, -0.175106
-0.262435, 0.383312, -0.176211
-0.25766, 0.382244, -0.177922
-0.25578, 0.381682, -0.182026
-0.254373, 0.380203, -0.186758
-0.251055, 0.376954, -0.189607
-0.245552, 0.372832, -0.193704
-0.242274, 0.370902, -0.199667
-0.239763, 0.369974, -0.205049
-0.236747, 0.367213, -0.206645
-0.231241, 0.365439, -0.206039
-0.227128, 0.364636, -0.207393
-0.223468, 0.363099, -0.209568
-0.220677, 0.361363, -0.21137
-0.217495, 0.359609, -0.213155
-0.213814, 0.358335, -0.213141
-0.210596, 0.357246, -0.213429
-0.206316, 0.355859, -0.213976
-0.200838, 0.352384, -0.212503
-0.196233, 0.350687, -0.211931
-0.193305, 0.350698, -0.211528
-0.190003, 0.349906, -0.210748
-0.184638, 0.346763, -0.208101
-0.179349, 0.344035, -0.206348
-0.175259, 0.342484, -0.204768
-0.170891, 0.343365, -0.200993
-0.16698, 0.341907, -0.1981
-0.162469, 0.339178, -0.196535
-0.157842, 0.337611, -0.192921
-0.15376, 0.338968, -0.189891
-0.149547, 0.337891, -0.186959
-0.144378, 0.336281, -0.183298
-0.139487, 0.335367, -0.179422
-0.134779, 0.335171, -0.175353
-0.130968, 0.335814, -0.171334
-0.127128, 0.335582, -0.168205
-0.123065, 0.333643, -0.164051
-0.117847, 0.330358, -0.161244
-0.114087, 0.330892, -0.156985
-0.110861, 0.331566, -0.155003
-0.106974, 0.330738, -0.152322
-0.101962, 0.328641, -0.148399
-0.0980989, 0.326553, -0.146103
-0.0939538, 0.325265, -0.142684
-0.0904995, 0.324978, -0.140579
-0.0878827, 0.323285, -0.138258
-0.0833723, 0.32138, -0.135151
-0.079769, 0.320018, -0.130779
-0.0773111, 0.320396, -0.128861
-0.0753297, 0.321048, -0.125789
-0.0725355, 0.319524, -0.124625
-0.0697928, 0.317281, -0.12396
-0.0683406, 0.317101, -0.123008
-0.0651668, 0.315723, -0.120816
-0.0629307, 0.314842, -0.119096
-0.0603799, 0.31513, -0.116438
-0.0581459, 0.311573, -0.116215
-0.0561653, 0.309434, -0.116214
-0.0556095, 0.310714, -0.114817
-0.0538663, 0.310044, -0.114281
-0.0513494, 0.306954, -0.11308
-0.0490394, 0.305672, -0.111326
-0.0480587, 0.305308, -0.110141
-0.0463491, 0.302875, -0.110638
-0.0442605, 0.301789, -0.109278
-0.0424834, 0.301568, -0.107733
-0.0418632, 0.298857, -0.108914
-0.0402941, 0.295705, -0.109715
-0.0396953, 0.295233, -0.11009
-0.0384881, 0.295562, -0.108696
-0.0358411, 0.294039, -0.10659
-0.0343515, 0.290862, -0.106679
-0.0339205, 0.289369, -0.107002
-0.0338902, 0.289182, -0.106652
-0.0324278, 0.287396, -0.106792
-0.0310856, 0.285471, -0.10608
-0.0299732, 0.284303, -0.105901
-0.0293661, 0.282891, -0.105553
-0.0279801, 0.281109, -0.104923
-0.0272332, 0.279044, -0.105358
-0.0283813, 0.277828, -0.107653
-0.0274547, 0.27691, -0.107587
-0.0253022, 0.275178, -0.105096
-0.0243901, 0.273297, -0.105272
-0.0249831, 0.271743, -0.106579
-0.0250605, 0.26999, -0.108659
-0.0243907, 0.269364, -0.108025
-0.023662, 0.268768, -0.107706
-0.0231375, 0.265983, -0.108503
-0.0215486, 0.263566, -0.108503
-0.0208606, 0.262551, -0.108562
-0.0222562, 0.261711, -0.110834
-0.0222409, 0.259476, -0.112471
-0.0195272, 0.257277, -0.109947
-0.0173792, 0.255792, -0.107189
-0.0182546, 0.255081, -0.109194
-0.0195614, 0.252465, -0.112572
-0.0183659, 0.25129, -0.112313
-0.0176428, 0.250013, -0.111865
-0.0173016, 0.247788, -0.112176
-0.0155498, 0.245291, -0.111885
-0.0149508, 0.243536, -0.111637
-0.0154149, 0.242683, -0.113124
-0.0164685, 0.240523, -0.115657
-0.0143601, 0.237971, -0.114249
-0.0125219, 0.236041, -0.112276
-0.0135178, 0.234782, -0.114785
-0.0147807, 0.233423, -0.117399
-0.013882, 0.231508, -0.118002
-0.014004, 0.23044, -0.118525
-0.0140963, 0.229614, -0.118866
-0.0134362, 0.228282, -0.118885
-0.0126849, 0.22684, -0.118463
-0.0130602, 0.225598, -0.11934
-0.0144518, 0.224425, -0.121476
-0.0142833, 0.224043, -0.120806
-0.0124702, 0.223526, -0.118479
-0.0131524, 0.222222, -0.11955
-0.0137455, 0.2209, -0.121123
-0.0146859, 0.219353, -0.123369
-0.0144296, 0.218062, -0.123124
-0.0139666, 0.217657, -0.122511
-0.0143824, 0.216579, -0.122518
-0.0136711, 0.215234, -0.122418
-0.0134515, 0.213799, -0.121872
-0.0139391, 0.212196, -0.123102
-0.0146279, 0.210759, -0.124454
-0.0144701, 0.210624, -0.124023
-0.014507, 0.209528, -0.123957
-0.0143832, 0.207627, -0.125231
-0.0156508, 0.205682, -0.127578
-0.0153609, 0.204412, -0.128404
-0.0152526, 0.203402, -0.128779
-0.0150261, 0.201634, -0.128932
-0.0135195, 0.199669, -0.127732
-0.0135374, 0.199054, -0.126646
-0.0141272, 0.198359, -0.127319
-0.0151018, 0.195574, -0.130633
-0.0150591, 0.193999, -0.131456
-0.0123608, 0.19324, -0.127796
-0.0121526, 0.191172, -0.128701
-0.0140936, 0.189359, -0.131614
-0.0143955, 0.187998, -0.13271
-0.0139613, 0.186815, -0.132329
-0.0128174, 0.184955, -0.131484
-0.0121374, 0.182319, -0.131421
-0.0116808, 0.181554, -0.130539
-0.0105449, 0.179937, -0.129434
