q1, q2, q3, q4, q5, q6, q7
-0.000100787, 0.858158, -6.09997e-05, -1.04714, -5.0909e-05, 0.506101, 8.64062e-05
-0.000100668, 0.858158, -6.10596e-05, -1.04714, -5.06214e-05, 0.506102, 8.6586e-05
-0.000100907, 0.858158, -6.11196e-05, -1.04714, -5.11008e-05, 0.506101, 8.64062e-05
-0.000100907, 0.858158, -6.11196e-05, -1.04714, -5.0909e-05, 0.506101, 8.64062e-05
-0.000100608, 0.858158, -6.09997e-05, -1.04714, -5.08132e-05, 0.506102, 8.6586e-05
-0.000100967, 0.858158, -6.10596e-05, -1.04714, -5.0909e-05, 0.506101, 8.61666e-05
-0.000103184, 0.858134, -6.54339e-05, -1.04718, -5.02379e-05, 0.506143, 8.61666e-05
-0.000113251, 0.857243, -0.000104323, -1.04774, -4.54442e-05, 0.506463, 8.62865e-05
-5.15319e-06, 0.855729, -5.00941e-05, -1.04864, -3.63362e-05, 0.506761, 8.63463e-05
5.53072e-05, 0.85413, -4.56e-05, -1.05057, -2.579e-05, 0.507517, 8.61666e-05
0.000183419, 0.852762, -2.28899e-05, -1.0528, -2.33932e-05, 0.50833, 8.63463e-05
0.000410699, 0.851086, 1.37816e-06, -1.05532, -1.6011e-05, 0.509462, 8.61067e-05
0.000770106, 0.849185, 4.61992e-05, -1.05794, -1.39975e-05, 0.510644, 8.61067e-05
0.00143253, 0.84682, 0.00016742, -1.06048, -7.09459e-06, 0.512045, 8.63463e-05
0.00260555, 0.844355, 0.000662728, -1.06359, 4.31428e-06, 0.513679, 8.57472e-05
0.00368215, 0.841759, 0.000903551, -1.06686, -2.20505e-06, 0.515283, 8.53876e-05
0.00463736, 0.839089, 0.000955742, -1.07016, 1.87913e-05, 0.516831, 8.55075e-05
0.00551484, 0.836399, 0.00108463, -1.07423, 4.08423e-05, 0.518692, 8.49682e-05
0.00678733, 0.833518, 0.00163327, -1.07886, 4.18968e-05, 0.520831, 8.50281e-05
0.00827888, 0.830235, 0.00227658, -1.08346, 4.07463e-05, 0.522842, 8.5088e-05
0.00965479, 0.826688, 0.00261694, -1.08809, 5.12924e-05, 0.524761, 8.50281e-05
0.0108944, 0.823046, 0.00278891, -1.09308, 6.18386e-05, 0.526851, 8.55075e-05
0.0123195, 0.819263, 0.00321824, -1.09852, 7.20013e-05, 0.529205, 8.50281e-05
0.013996, 0.81523, 0.00389002, -1.10403, 6.61529e-05, 0.531327, 8.50281e-05
0.0156174, 0.810934, 0.00436226, -1.10969, 6.70158e-05, 0.532363, 8.50281e-05
0.0169408, 0.806552, 0.00450685, -1.11554, 9.03131e-05, 0.532352, 8.44888e-05
0.0180741, 0.802129, 0.00469548, -1.12138, 0.000109009, 0.532899, 8.47284e-05
0.019297, 0.797788, 0.00519966, -1.12682, 0.000114761, 0.534822, 8.49082e-05
0.0206714, 0.793562, 0.00583794, -1.13185, 0.000110638, 0.537775, 8.46685e-05
0.0221187, 0.789549, 0.0063786, -1.13661, 0.000111597, 0.540199, 8.48483e-05
0.0235618, 0.785596, 0.00690004, -1.14109, 0.000125882, 0.541221, 8.49082e-05
0.0250129, 0.781732, 0.00758446, -1.14526, 0.000131731, 0.541692, 8.46685e-05
0.0264818, 0.777955, 0.00833862, -1.14922, 0.000131731, 0.542797, 8.48483e-05
0.0279446, 0.774342, 0.00892375, -1.15314, 0.000127704, 0.544936, 8.47884e-05
0.029445, 0.770796, 0.00935854, -1.15703, 0.000129621, 0.547594, 8.48483e-05
0.0310096, 0.76719, 0.00989891, -1.16091, 0.000137579, 0.549624, 8.49082e-05
0.0326199, 0.763501, 0.0106449, -1.165, 0.000149084, 0.550822, 8.49082e-05
0.0342503, 0.75975, 0.0114249, -1.16921, 0.000152248, 0.551778, 8.46685e-05
0.0359246, 0.75598, 0.0120923, -1.17348, 0.000150138, 0.553227, 8.49082e-05
0.03769, 0.752286, 0.0127616, -1.17766, 0.000151481, 0.555244, 8.49082e-05
0.0394946, 0.748604, 0.0135286, -1.18182, 0.000155411, 0.557517, 8.46685e-05
0.0412378, 0.744995, 0.0143543, -1.18608, 0.000154932, 0.559355, 8.47284e-05
0.0428977, 0.741358, 0.0150959, -1.19044, 0.000153494, 0.560714, 8.47884e-05
0.0445888, 0.737763, 0.0157282, -1.19481, 0.00015311, 0.561939, 8.47284e-05
0.0464494, 0.734192, 0.0164543, -1.19902, 0.000154261, 0.563424, 8.49082e-05
0.0484422, 0.730684, 0.0173566, -1.20318, 0.000156945, 0.565279, 8.46087e-05
0.0504451, 0.727303, 0.0183169, -1.20734, 0.000160972, 0.56723, 8.46087e-05
0.0523972, 0.723952, 0.0192295, -1.21164, 0.000160876, 0.568982, 8.48483e-05
0.0543782, 0.720694, 0.0200959, -1.21597, 0.000160589, 0.570371, 8.47884e-05
0.056468, 0.717383, 0.0210323, -1.22026, 0.000161643, 0.571701, 8.46685e-05
0.0586362, 0.714138, 0.0220607, -1.2245, 0.000161547, 0.573175, 8.49082e-05
0.0608043, 0.710874, 0.0231034, -1.22875, 0.000161739, 0.574916, 8.49082e-05
0.0629595, 0.707687, 0.0241306, -1.23301, 0.000160397, 0.576721, 8.48483e-05
0.0651482, 0.704503, 0.0251683, -1.23723, 0.000160301, 0.578319, 8.47284e-05
0.0673951, 0.701347, 0.0262686, -1.24138, 0.000160684, 0.579673, 8.49082e-05
0.0696606, 0.698221, 0.0273952, -1.24555, 0.000162314, 0.581001, 8.47884e-05
0.0718803, 0.695136, 0.0284996, -1.24972, 0.000161356, 0.582482, 8.50281e-05
0.0740653, 0.692112, 0.0295775, -1.25388, 0.000162027, 0.58414, 8.47284e-05
0.0762614, 0.689141, 0.0306848, -1.25795, 0.000161452, 0.58574, 8.47884e-05
0.0784982, 0.686221, 0.0318167, -1.26203, 0.000162314, 0.587171, 8.46685e-05
0.0807595, 0.683387, 0.0329669, -1.2661, 0.000163944, 0.588444, 8.47884e-05
0.0830211, 0.680583, 0.0341139, -1.27022, 0.000168163, 0.589788, 8.47884e-05
0.0852808, 0.677878, 0.035297, -1.27428, 0.000167779, 0.591194, 8.50281e-05
0.0875485, 0.675179, 0.0365051, -1.27825, 0.000167396, 0.592691, 8.47884e-05
0.0898373, 0.672553, 0.0377184, -1.28218, 0.000165958, 0.594112, 8.49082e-05
0.0921492, 0.669975, 0.0389342, -1.28611, 0.000165191, 0.595409, 8.49082e-05
0.094485, 0.667461, 0.040163, -1.29009, 0.000167492, 0.596683, 8.46685e-05
0.0968251, 0.665022, 0.041423, -1.29404, 0.000167492, 0.59795, 8.48483e-05
0.0991578, 0.662608, 0.0426967, -1.29792, 0.000167587, 0.599266, 8.49082e-05
0.101495, 0.660265, 0.0439758, -1.30176, 0.000167875, 0.600588, 8.47884e-05
0.103839, 0.657985, 0.0452323, -1.30562, 0.000169313, 0.601869, 8.47884e-05
0.106184, 0.655756, 0.0464857, -1.3095, 0.000169792, 0.603113, 8.50281e-05
0.108535, 0.653586, 0.0477635, -1.31332, 0.000169792, 0.604281, 8.47884e-05
0.110883, 0.651421, 0.0490647, -1.31704, 0.000169697, 0.605436, 8.47284e-05
0.113232, 0.649311, 0.0503773, -1.32072, 0.000170368, 0.606609, 8.49082e-05
0.115584, 0.647261, 0.0516819, -1.32439, 0.000167875, 0.607793, 8.48483e-05
0.117937, 0.645271, 0.0529754, -1.32807, 0.000168258, 0.608977, 8.47284e-05
0.120284, 0.643361, 0.0542854, -1.33175, 0.000169313, 0.610096, 8.47284e-05
0.122641, 0.641477, 0.0556165, -1.33535, 0.000169217, 0.611154, 8.49682e-05
0.125, 0.639649, 0.0569595, -1.33889, 0.000169121, 0.612193, 8.47284e-05
0.127367, 0.637879, 0.0582966, -1.34247, 0.000168163, 0.61328, 8.49082e-05
0.129744, 0.636169, 0.0596311, -1.34599, 0.000167587, 0.614338, 8.50281e-05
0.132129, 0.634504, 0.0609725, -1.3495, 0.000169026, 0.6154, 8.48483e-05
0.13452, 0.632909, 0.0623363, -1.35295, 0.000170655, 0.616372, 8.47884e-05
0.136899, 0.631336, 0.0636983, -1.35632, 0.000169409, 0.617322, 8.50281e-05
0.139263, 0.629845, 0.0650329, -1.35966, 0.000167492, 0.61825, 8.48483e-05
0.141634, 0.628393, 0.0663572, -1.363, 0.000167587, 0.619232, 8.48483e-05
0.144021, 0.626996, 0.0677042, -1.36629, 0.000168163, 0.620188, 8.49682e-05
0.146414, 0.625666, 0.0690725, -1.3696, 0.00016893, 0.62113, 8.47884e-05
0.148805, 0.624379, 0.0704488, -1.37284, 0.000169697, 0.622012, 8.47884e-05
0.151186, 0.623136, 0.0718134, -1.376, 0.000169888, 0.622858, 8.50281e-05
0.153569, 0.621956, 0.0731684, -1.37916, 0.000169505, 0.623707, 8.49082e-05
0.155954, 0.620842, 0.0745369, -1.38232, 0.000168738, 0.624575, 8.47284e-05
0.158331, 0.619769, 0.0759007, -1.38542, 0.000169505, 0.625418, 8.50281e-05
0.160705, 0.618764, 0.0772645, -1.3885, 0.000170176, 0.626234, 8.49082e-05
0.16308, 0.617797, 0.0786313, -1.39151, 0.000170655, 0.626995, 8.47284e-05
0.165453, 0.616874, 0.07999, -1.39442, 0.00017056, 0.627731, 8.49082e-05
0.16783, 0.616009, 0.0813469, -1.3973, 0.00017008, 0.628479, 8.50281e-05
0.170199, 0.615212, 0.0827092, -1.40018, 0.000168738, 0.629236, 8.47884e-05
0.172563, 0.614474, 0.0840696, -1.40298, 0.000168738, 0.629952, 8.47884e-05
0.174906, 0.613783, 0.0853954, -1.40576, 0.00017008, 0.630636, 8.50281e-05
0.177228, 0.613176, 0.0866987, -1.40852, 0.000170176, 0.631289, 8.49082e-05
0.17956, 0.612619, 0.0880178, -1.41121, 0.000169505, 0.631951, 8.47284e-05
0.181905, 0.612114, 0.0893694, -1.41381, 0.000167396, 0.632589, 8.49082e-05
0.18424, 0.611673, 0.0907099, -1.41641, 0.000167779, 0.633206, 8.50281e-05
0.18656, 0.611314, 0.0920272, -1.419, 0.000169313, 0.633815, 8.47284e-05
0.188872, 0.611023, 0.0933269, -1.4215, 0.000169313, 0.634393, 8.47884e-05
0.191191, 0.610782, 0.0946446, -1.42392, 0.000169888, 0.634945, 8.50281e-05
