dq1, dq2, dq3, dq4, dq5, dq6, dq7
3.34567e-07, 3.00511e-05, 8.93833e-06, -4.21629e-06, 1.43564e-05, 9.06618e-07, 9.43887e-06
1.34877e-05, 1.33168e-05, -2.70882e-06, 1.14711e-05, 3.8396e-05, 3.37625e-05, 2.4204e-05
-2.07141e-05, 2.59225e-05, -7.88225e-06, -8.2562e-06, -3.6382e-05, -1.83993e-05, -9.29561e-06
-9.17921e-06, 2.48388e-05, -3.49292e-06, -3.65863e-06, 5.24034e-06, -8.15343e-06, -4.11923e-06
2.93053e-05, 1.1007e-05, 1.18038e-05, 2.50698e-05, 1.29937e-05, 2.97477e-05, 1.81959e-05
-2.70564e-05, 4.87761e-06, -1.43904e-06, -1.55817e-05, -4.91354e-06, -2.68603e-05, -3.86491e-05
-0.000258915, -0.00262723, -0.000487819, -0.0037708, 7.25624e-05, 0.00456616, -1.71268e-05
-0.00123589, -0.100373, -0.00454731, -0.063922, 0.000566044, 0.0377604, 5.76205e-06
0.0114914, -0.213174, 0.00402449, -0.129364, 0.00126522, 0.0499074, 9.22311e-06
0.0118259, -0.272489, 0.00228392, -0.271508, 0.00173522, 0.10631, -1.59342e-05
0.0195086, -0.273181, 0.00354137, -0.368552, 0.00103588, 0.137603, 1.29603e-05
0.0339578, -0.30765, 0.00427211, -0.444143, 0.00128122, 0.187041, -2.09479e-05
0.055076, -0.34811, 0.00688496, -0.488404, 0.000791993, 0.214594, -9.28278e-06
0.0981825, -0.417613, 0.0165516, -0.499783, 0.00111976, 0.251056, 2.25775e-05
0.17415, -0.459564, 0.0624983, -0.568104, 0.00176684, 0.293294, -5.67288e-05
0.197076, -0.492796, 0.0545164, -0.615544, 5.68796e-05, 0.308567, -6.51813e-05
0.193715, -0.515784, 0.0299709, -0.640371, 0.00236362, 0.309129, -1.55327e-05
0.18357, -0.528139, 0.0276361, -0.736874, 0.00350328, 0.344341, -6.69471e-05
0.223067, -0.554837, 0.0733498, -0.842497, 0.00166988, 0.390737, -2.2997e-05
0.264968, -0.611587, 0.104151, -0.885478, 0.00061185, 0.397102, -3.52111e-06
0.270655, -0.666072, 0.0840593, -0.908542, 0.00144569, 0.389732, -8.23006e-06
0.258, -0.700774, 0.0564029, -0.95765, 0.00181519, 0.405432, 4.97472e-05
0.273047, -0.731828, 0.0728104, -1.03058, 0.00193622, 0.44184, -3.13494e-05
0.307704, -0.773418, 0.107082, -1.07022, 0.000206659, 0.432127, -1.38921e-05
0.316942, -0.821279, 0.100047, -1.10448, 0.000187681, 0.306971, -6.1561e-06
0.287841, -0.851977, 0.0604377, -1.1408, 0.00267785, 0.134729, -6.2792e-05
0.25377, -0.870119, 0.0477906, -1.15681, 0.00326882, 0.120686, -1.13441e-06
0.248649, -0.869069, 0.0773292, -1.1177, 0.0020892, 0.267595, 1.95186e-05
0.263257, -0.855717, 0.105354, -1.0561, 0.000466652, 0.447488, -1.80416e-05
0.277853, -0.826122, 0.106902, -0.997458, 0.000313565, 0.468245, 1.20264e-05
0.28384, -0.806374, 0.105446, -0.941748, 0.00172993, 0.321328, 1.19991e-05
0.287394, -0.787673, 0.122952, -0.880796, 0.00141795, 0.194853, -2.13738e-05
0.290957, -0.769709, 0.138478, -0.831717, 0.000628346, 0.209447, 1.05498e-05
0.291843, -0.743483, 0.126532, -0.80531, -0.000170034, 0.331054, -1.99472e-06
0.296432, -0.724387, 0.104495, -0.790438, 0.000138219, 0.442655, 5.78579e-06
0.305614, -0.722658, 0.106488, -0.782539, 0.000947495, 0.422257, 9.23362e-06
0.314768, -0.731055, 0.130275, -0.801436, 0.0017012, 0.320509, 4.09176e-06
0.321066, -0.741683, 0.144593, -0.823911, 0.00110622, 0.24856, -2.48778e-05
0.328749, -0.748502, 0.138405, -0.840938, 0.000255297, 0.2715, 1.56668e-05
0.342304, -0.743181, 0.135876, -0.838159, 0.00026263, 0.345017, 6.94252e-06
0.352662, -0.739389, 0.145633, -0.835059, 0.000554168, 0.405978, -2.36146e-05
0.350425, -0.729613, 0.156497, -0.844336, 0.000192176, 0.384663, -3.79477e-06
0.340158, -0.728358, 0.151949, -0.859339, -7.49909e-05, 0.321802, 5.00027e-06
0.339078, -0.723103, 0.137747, -0.867462, -7.59564e-05, 0.27901, -4.46607e-06
0.357472, -0.718232, 0.141918, -0.853997, 9.44774e-05, 0.289004, 1.80422e-05
0.380352, -0.708879, 0.163373, -0.84185, 0.000340845, 0.334709, -2.53656e-05
0.391619, -0.690774, 0.179347, -0.836021, 0.000599499, 0.365593, -1.12404e-05
0.390959, -0.6793, 0.181114, -0.849794, 0.000254989, 0.357103, 2.171e-05
0.393877, -0.663878, 0.176751, -0.858154, 8.0961e-05, 0.312926, 2.95078e-06
0.407289, -0.662931, 0.182613, -0.858074, 0.000153322, 0.286809, -1.2044e-05
0.421955, -0.655203, 0.195461, -0.853194, 5.72713e-05, 0.291225, 2.13539e-05
0.428454, -0.653821, 0.202743, -0.851071, 4.67416e-05, 0.323027, 9.46271e-06
0.429899, -0.644659, 0.204248, -0.851939, -0.000128786, 0.34414, -2.47644e-06
0.434256, -0.640319, 0.206083, -0.846738, -6.77415e-05, 0.330519, -1.4449e-05
0.442681, -0.635266, 0.21387, -0.83804, 1.26869e-05, 0.297274, 1.36184e-05
0.448483, -0.629563, 0.220243, -0.834993, 0.000187155, 0.279626, -7.30461e-06
0.445955, -0.622652, 0.220599, -0.834563, -2.38385e-05, 0.28883, 2.34541e-05
0.440964, -0.612655, 0.2178, -0.833973, 6.41761e-05, 0.312609, -2.29795e-05
0.439994, -0.602386, 0.219836, -0.822439, -3.56294e-05, 0.316733, -3.50121e-06
0.444095, -0.592129, 0.223488, -0.818423, 8.03136e-05, 0.299768, -1.49031e-05
0.448642, -0.578021, 0.227128, -0.81689, 0.000217104, 0.274571, 6.74747e-06
0.450697, -0.568452, 0.228401, -0.820409, 0.000566027, 0.271388, 2.99006e-06
0.451381, -0.553187, 0.232969, -0.815681, 0.000208122, 0.276864, 2.80161e-05
0.452592, -0.545709, 0.23779, -0.803503, 4.95016e-05, 0.289408, -1.42761e-05
0.455464, -0.5343, 0.2405, -0.793374, -0.000138215, 0.286478, 7.01318e-06
0.459313, -0.523932, 0.241988, -0.78944, -0.000146679, 0.271425, 3.1078e-06
0.463688, -0.51207, 0.244089, -0.793089, 0.000191274, 0.262185, -2.53139e-05
0.4661, -0.498612, 0.24849, -0.791989, 8.47606e-05, 0.257283, 8.80381e-06
0.466342, -0.489825, 0.251969, -0.782506, 4.82321e-05, 0.260563, 1.0571e-05
0.466976, -0.477996, 0.254111, -0.774954, 5.34076e-05, 0.262711, -8.65504e-06
0.467964, -0.465747, 0.252551, -0.772748, 0.000183837, 0.259038, -3.83537e-06
0.468549, -0.45462, 0.251512, -0.77434, 0.000134842, 0.253339, 2.49915e-05
0.469449, -0.443182, 0.253762, -0.76944, 5.97537e-05, 0.242359, -1.56164e-05
0.469534, -0.437427, 0.257374, -0.755022, 1.58075e-05, 0.236098, -1.36021e-05
0.469705, -0.428863, 0.260237, -0.744322, 8.17447e-05, 0.235259, 1.39937e-05
0.470095, -0.418355, 0.260618, -0.739087, -0.000241392, 0.236035, -4.6858e-07
0.470388, -0.407091, 0.259552, -0.73662, -6.42641e-05, 0.236472, -1.35592e-05
0.469863, -0.393044, 0.260908, -0.736341, 8.89871e-05, 0.229479, -6.00861e-06
0.470679, -0.383983, 0.263865, -0.726848, 2.87425e-05, 0.219446, 2.40406e-05
0.471334, -0.373728, 0.26651, -0.716995, 2.06531e-06, 0.212978, -1.60499e-05
0.472431, -0.362797, 0.267014, -0.716146, -0.000105859, 0.215457, 1.2909e-05
0.474152, -0.351226, 0.266951, -0.709129, -0.000110978, 0.213279, 1.90721e-05
0.475703, -0.341046, 0.26769, -0.70606, 0.000110992, 0.212787, -1.15698e-05
0.47705, -0.328834, 0.270514, -0.696138, 0.000230698, 0.202619, -1.17967e-05
0.476339, -0.320826, 0.271558, -0.684847, -3.6577e-05, 0.195578, 2.14635e-05
0.474383, -0.308235, 0.268985, -0.675479, -0.000229756, 0.189988, -1.05101e-05
0.474343, -0.298384, 0.266683, -0.670494, -9.11421e-05, 0.19353, -4.6574e-06
0.475967, -0.287713, 0.268199, -0.663553, 2.36798e-05, 0.192317, 1.12877e-05
0.477528, -0.275689, 0.271233, -0.662399, 9.59242e-05, 0.190065, -1.50193e-05
0.477852, -0.26553, 0.273485, -0.65444, 0.000127919, 0.182533, -6.65561e-06
0.476922, -0.256003, 0.273162, -0.642198, 7.80482e-05, 0.175098, 2.37417e-05
0.476796, -0.244974, 0.271958, -0.636886, -8.13904e-06, 0.172077, -2.83077e-06
0.476827, -0.232532, 0.272932, -0.634052, -8.90181e-05, 0.172987, -2.12757e-05
0.476121, -0.222587, 0.272837, -0.626222, 4.59641e-05, 0.170487, 2.39448e-05
0.475287, -0.210612, 0.272788, -0.620284, 9.51276e-05, 0.166457, -2.74074e-06
0.475137, -0.200955, 0.273107, -0.610218, 9.55318e-05, 0.158524, -2.12358e-05
0.474824, -0.19183, 0.272347, -0.594726, 3.16622e-05, 0.152173, 1.06109e-05
0.475193, -0.181434, 0.27181, -0.583803, -3.9366e-05, 0.150826, 1.80537e-05
0.474375, -0.169092, 0.272173, -0.579383, -0.000166924, 0.151157, -1.86908e-05
0.473566, -0.157183, 0.27212, -0.569556, -7.39703e-05, 0.146666, -8.28258e-06
0.470798, -0.146593, 0.268246, -0.561044, 0.000116701, 0.141125, 2.30207e-05
0.467169, -0.132524, 0.264027, -0.556551, 6.24054e-05, 0.135346, -3.15026e-06
0.466809, -0.120824, 0.263912, -0.546259, -4.71051e-05, 0.133713, -2.14173e-05
0.467957, -0.109746, 0.267472, -0.531954, -0.000255784, 0.130287, 1.05305e-05
0.467438, -0.0976968, 0.267828, -0.524948, -7.06225e-05, 0.126453, 1.80181e-05
0.465513, -0.0833679, 0.265396, -0.520642, 0.000139547, 0.123826, -2.53884e-05
0.463819, -0.0692702, 0.262357, -0.509724, 6.18383e-05, 0.119238, -4.56869e-06
0.463843, -0.0576174, 0.263012, -0.49531, 9.14711e-05, 0.114336, 2.46665e-05
0.463433, -0.0449124, 0.264283, -0.487234, 1.91717e-05, 0.11185, -9.09068e-06
0.461109, -0.0327357, 0.261229, -0.477842, -3.421e-05, 0.109227, -4.02842e-06
0.457997, -0.0199387, 0.2574, -0.461842, -0.000111262, 0.1039, 4.88458e-06
0.457145, -0.0061261, 0.256097, -0.446209, -4.93044e-05, 0.0960202, 2.16454e-06
0.456707, 0.00678846, 0.256434, -0.437126, -8.59168e-05, 0.0940767, -1.90621e-05
0.455506, 0.0195653, 0.256163, -0.429411, -0.000102141, 0.0947905, 1.15742e-05
0.453298, 0.0316539, 0.252859, -0.41841, -1.32284e-05, 0.0923172, 5.12895e-06
0.450131, 0.0480555, 0.248045, -0.4043, -2.72246e-05, 0.0839337, 8.9547e-06
0.448681, 0.0647802, 0.246172, -0.394016, 1.99699e-05, 0.0788973, -1.60532e-05
0.447558, 0.0805401, 0.246157, -0.383426, 8.8494e-06, 0.0781203, 1.95773e-05
0.445325, 0.0909742, 0.24376, -0.371512, 5.73182e-05, 0.0795311, -4.67617e-06
0.443154, 0.102265, 0.241951, -0.353806, -4.934e-05, 0.0735028, -2.87632e-05
0.442386, 0.114162, 0.240716, -0.340114, 5.28754e-05, 0.0663668, 1.3945e-05
0.441365, 0.126248, 0.23856, -0.3277, 0.000119533, 0.0618431, 6.17954e-06
0.439911, 0.136802, 0.237011, -0.31616, -6.44952e-05, 0.0624012, -3.93134e-06
0.43876, 0.147739, 0.234769, -0.304072, -0.00010332, 0.0615407, 4.9276e-06
0.437369, 0.15685, 0.233422, -0.29082, -7.78191e-05, 0.0579627, 8.86548e-06
0.436605, 0.165298, 0.231764, -0.279576, -6.65186e-05, 0.052333, -9.42297e-06
0.434979, 0.175702, 0.230042, -0.265857, 3.45913e-05, 0.0462345, 1.58457e-05
0.43221, 0.184217, 0.225147, -0.249341, 7.93969e-05, 0.0435721, -1.29995e-05
0.430215, 0.193596, 0.223059, -0.23388, -1.82129e-05, 0.0408173, 9.09151e-07
0.429632, 0.201649, 0.223234, -0.220855, -8.07083e-06, 0.0401772, 4.02879e-07
0.428632, 0.208882, 0.222131, -0.208303, -3.56106e-05, 0.0374844, -1.98428e-05
0.426361, 0.21509, 0.217017, -0.192357, -9.05202e-05, 0.0341489, 2.45798e-05
0.424306, 0.222453, 0.212349, -0.176915, -8.07875e-06, 0.0296143, -2.45935e-06
0.422395, 0.229112, 0.210353, -0.162905, -2.49231e-05, 0.0276515, 5.59204e-06
0.422075, 0.234599, 0.21079, -0.145418, -3.72801e-07, 0.0256339, 9.14777e-06
