target_x, target_y, target_z
0.6, 0, 0.4
0.6, 0.00199999, 0.399998
0.6, 0.00399993, 0.399993
0.6, 0.00599978, 0.399983
0.6, 0.00799947, 0.39997
0.6, 0.00999896, 0.399953
0.6, 0.0119982, 0.399933
0.6, 0.0139971, 0.399908
0.6, 0.0159957, 0.39988
0.6, 0.0179939, 0.399848
0.6, 0.0199917, 0.399813
0.6, 0.0219889, 0.399773
0.6, 0.0239856, 0.39973
0.6, 0.0259817, 0.399683
0.6, 0.0279771, 0.399633
0.6, 0.0299719, 0.399578
0.6, 0.0319659, 0.39952
0.6, 0.0339591, 0.399458
0.6, 0.0359514, 0.399393
0.6, 0.0379429, 0.399324
0.6, 0.0399334, 0.399251
0.6, 0.0419229, 0.399174
0.6, 0.0439113, 0.399093
0.6, 0.0458987, 0.399009
0.6, 0.0478849, 0.398921
0.6, 0.0498699, 0.39883
0.6, 0.0518537, 0.398734
0.6, 0.0538361, 0.398635
0.6, 0.0558172, 0.398532
0.6, 0.057797, 0.398426
0.6, 0.0597753, 0.398316
0.6, 0.061752, 0.398202
0.6, 0.0637273, 0.398084
0.6, 0.0657009, 0.397963
0.6, 0.0676729, 0.397838
0.6, 0.0696433, 0.397709
0.6, 0.0716118, 0.397577
0.6, 0.0735786, 0.39744
0.6, 0.0755436, 0.397301
0.6, 0.0775066, 0.397157
0.6, 0.0794677, 0.39701
0.6, 0.0814269, 0.396859
0.6, 0.083384, 0.396705
0.6, 0.085339, 0.396546
0.6, 0.0872918, 0.396385
0.6, 0.0892425, 0.396219
0.6, 0.091191, 0.39605
0.6, 0.0931372, 0.395877
0.6, 0.0950811, 0.395701
0.6, 0.0970225, 0.395521
0.6, 0.0989616, 0.395337
0.6, 0.100898, 0.395149
0.6, 0.102832, 0.394958
0.6, 0.104764, 0.394764
0.6, 0.106693, 0.394566
0.6, 0.108619, 0.394364
0.6, 0.110542, 0.394158
0.6, 0.112463, 0.393949
0.6, 0.114381, 0.393737
0.6, 0.116296, 0.39352
0.6, 0.118208, 0.3933
0.6, 0.120117, 0.393077
0.6, 0.122023, 0.39285
0.6, 0.123927, 0.392619
0.6, 0.125827, 0.392385
0.6, 0.127724, 0.392148
0.6, 0.129617, 0.391906
0.6, 0.131508, 0.391662
0.6, 0.133395, 0.391413
0.6, 0.135279, 0.391161
0.6, 0.137159, 0.390906
0.6, 0.139036, 0.390647
0.6, 0.14091, 0.390385
0.6, 0.14278, 0.390119
0.6, 0.144646, 0.389849
0.6, 0.146509, 0.389576
0.6, 0.148368, 0.3893
0.6, 0.150224, 0.38902
0.6, 0.152075, 0.388736
0.6, 0.153923, 0.388449
0.6, 0.155767, 0.388159
0.6, 0.157608, 0.387865
0.6, 0.159444, 0.387568
0.6, 0.161276, 0.387267
0.6, 0.163104, 0.386963
0.6, 0.164928, 0.386656
0.6, 0.166748, 0.386345
0.6, 0.168564, 0.386031
0.6, 0.170376, 0.385713
0.6, 0.172183, 0.385392
0.6, 0.173986, 0.385067
0.6, 0.175785, 0.384739
0.6, 0.177579, 0.384408
0.6, 0.179369, 0.384073
0.6, 0.181155, 0.383735
0.6, 0.182935, 0.383394
