T1, T2, T3, T4, T5, T6, T7
-2.10014, -80, -2.03196, -20.1904, 0.171344, 3.60545, -1.81686e-05
0.148975, -80, -1.21068, -20.1793, 0.188539, 3.60554, -2.06497e-05
2.4014, -80, -0.388005, -20.1684, 0.205799, 3.60564, -2.09978e-05
4.65008, -80, 0.433041, -20.1585, 0.223004, 3.60582, -2.36174e-05
6.89597, -80, 1.253, -20.1498, 0.240207, 3.6061, -2.55342e-05
9.15003, -80, 2.07627, -20.141, 0.257522, 3.60637, -2.67942e-05
11.4363, -80, 2.91347, -20.1114, 0.275089, 3.60344, -3.44476e-05
13.9584, -80, 3.85, -20.5038, 0.305031, 3.63542, -6.26323e-05
15.2603, -80, 4.28222, -16.7531, 0.227735, 3.35995, 0.000130449
17.2332, -80, 5.03941, -12.8653, 0.167666, 3.02435, 0.000131967
32.8957, -80, 10.8398, -4.90087, 0.128235, 2.38781, 0.000262705
73.0558, -80, 25.5852, -25.9981, 0.892604, 3.98092, 0.000495424
59.256, -80, 20.4831, -22.7881, 0.709957, 3.71931, 0.000881741
52.4261, -80, 17.8775, -17.3704, 0.525256, 3.30865, 0.00165351
29.9632, -80, 9.23639, -18.2408, 0.324311, 3.34518, 0.00300197
28.5536, -80, 8.71722, -18.1486, 0.312, 3.32589, 0.00352624
31.7557, -80, 10.0349, -18.1752, 0.353097, 3.32421, 0.0035253
31.5455, -80, 10.036, -18.1362, 0.361322, 3.28328, 0.00343252
24.7018, -80, 7.26726, -16.5987, 0.247104, 3.12583, 0.00429362
20.6655, -80, 5.57696, -16.0092, 0.177295, 3.0774, 0.00521778
20.6135, -80, 5.63798, -15.907, 0.183652, 3.07415, 0.00546063
22.2194, -80, 6.40936, -15.4686, 0.208293, 3.02667, 0.00537409
20.4557, -80, 5.68876, -14.5189, 0.166685, 2.92752, 0.00582492
15.505, -80, 3.62063, -13.8129, 0.0860358, 2.87097, 0.00670409
15.0607, -74.8964, 3.53382, -14.6916, 0.107073, 2.89795, 0.00707853
19.0013, -70.3764, 5.34313, -15.3913, 0.185128, 2.92728, 0.00667764
22.928, -66.7956, 7.09361, -15.8573, 0.251308, 2.91142, 0.00623025
23.6729, -63.9337, 7.39892, -16.4977, 0.269976, 2.88483, 0.006378
23.2375, -61.7509, 7.18701, -17.1392, 0.273796, 2.86166, 0.00689647
23.25, -60.3523, 7.21272, -17.5631, 0.28249, 2.87153, 0.00734622
23.4569, -57.6058, 7.34294, -18.5189, 0.302594, 2.95095, 0.00763092
23.51, -55.1404, 7.35083, -19.5586, 0.314521, 3.03792, 0.00796
23.7108, -53.2077, 7.43002, -20.1993, 0.324926, 3.06027, 0.00828226
24.9938, -52.642, 8.04148, -20.0583, 0.345594, 3.00411, 0.00847015
26.5199, -51.9557, 8.78228, -19.8792, 0.37192, 2.94492, 0.00866632
26.7132, -49.7022, 8.89825, -20.2518, 0.382102, 2.94485, 0.00902912
26.09, -47.2314, 8.60476, -20.5341, 0.36961, 2.95348, 0.00948387
25.981, -44.7635, 8.56222, -20.7599, 0.367023, 2.94911, 0.00989091
26.4513, -42.5266, 8.82791, -20.8432, 0.379443, 2.91058, 0.0102526
26.4881, -40.8762, 8.88464, -20.8612, 0.383955, 2.86326, 0.0107137
26.3255, -39.106, 8.82679, -20.9269, 0.382358, 2.82188, 0.0111748
26.7809, -37.991, 9.04329, -20.7309, 0.380455, 2.78821, 0.0114421
28.1137, -36.2253, 9.70314, -20.7146, 0.39938, 2.77074, 0.0115084
29.2477, -34.6736, 10.29, -20.6762, 0.418315, 2.74969, 0.0116788
28.6361, -32.6728, 10.0364, -20.9376, 0.414755, 2.7361, 0.0122681
27.2166, -31.154, 9.36649, -20.9965, 0.390275, 2.70301, 0.0130288
26.6322, -30.4865, 9.08691, -20.734, 0.371322, 2.65798, 0.0135761
27.1107, -29.7344, 9.33756, -20.3393, 0.369014, 2.60902, 0.0138703
27.4748, -29.1211, 9.54479, -19.9689, 0.366297, 2.57418, 0.0141957
26.832, -27.1812, 9.26732, -20.0705, 0.35756, 2.55679, 0.0147661
25.9265, -25.7189, 8.84464, -20.0391, 0.340098, 2.52743, 0.0154045
25.6616, -23.8708, 8.74214, -20.0762, 0.336708, 2.49046, 0.0158844
25.8715, -22.7097, 8.87243, -19.875, 0.336177, 2.44552, 0.0162486
25.7619, -20.9573, 8.85298, -19.9314, 0.335966, 2.42385, 0.0166702
25.1597, -19.1429, 8.58181, -20.053, 0.327178, 2.41275, 0.0172019
24.7726, -17.5633, 8.41348, -20.0396, 0.319227, 2.38905, 0.0176837
25.0974, -16.2115, 8.60219, -19.912, 0.322142, 2.35122, 0.0179885
25.7125, -15.1431, 8.93756, -19.6842, 0.328412, 2.30491, 0.018223
25.8874, -13.8073, 9.04993, -19.652, 0.330367, 2.27763, 0.0185607
25.6738, -12.6254, 8.96631, -19.5087, 0.322735, 2.24868, 0.0189993
25.4175, -11.8152, 8.85727, -19.2306, 0.310839, 2.21603, 0.0194455
25.3935, -10.8447, 8.86886, -18.9339, 0.303647, 2.17324, 0.0198344
