out_barrier_x, out_barrier_x, out_barrier_x, bool_value
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
10, 1, 10,1
